year,month,ENSO,field_4,field_5,field_6
1882,JAN,-1,,,
1882,FEB,-0.3,,,
1882,MAR,0.4,,,
1882,APR,0,,,
1882,MAY,0.5,,,
1882,JUN,-1.2,,,
1882,JUL,-2.1,,,
1882,AUG,-2.8,,,
1882,SEP,-1.7,,,
1882,OCT,0,,,
1882,NOV,0.1,,,
1882,DEC,1,,,
1882,Annual_average,-0.591666667,,,
1883,JAN,0.8,,,
1883,FEB,-1.3,,,
1883,MAR,-3.2,,,
1883,APR,1.1,,,
1883,MAY,1.1,,,
1883,JUN,0.2,,,
1883,JUL,-1.2,,,
1883,AUG,0,,,
1883,SEP,-1,,,
1883,OCT,0.3,,,
1883,NOV,0.2,,,
1883,DEC,-2.2,,,
1883,Annual_average,-0.433333333,,,
1884,JAN,-1.7,,,
1884,FEB,-1,,,
1884,MAR,0.9,,,
1884,APR,-1,,,
1884,MAY,0.1,,,
1884,JUN,0.7,,,
1884,JUL,-0.4,,,
1884,AUG,-0.7,,,
1884,SEP,-0.7,,,
1884,OCT,0.3,,,
1884,NOV,-0.2,,,
1884,DEC,-1.8,,,
1884,Annual_average,-0.458333333,,,
1885,JAN,-2.2,,,
1885,FEB,0,,,
2012,MAR,0.7,,,
2012,APR,-0.3,,,
2012,MAY,0,,,
2012,JUN,-0.4,,,
2012,JUL,0,,,
2012,AUG,-0.2,,,
2012,SEP,0.2,,,
2012,OCT,0.3,,,
2012,NOV,0.3,,,
2012,DEC,-0.6,,,
2012,Annual_average,0.133333333,,,
2013,JAN,-0.1,,,
2013,FEB,-0.2,,,
2013,MAR,1.5,,,
2013,APR,0.2,,,
2013,MAY,0.8,,,
2013,JUN,1.2,,,
2013,JUL,0.8,,,
2013,AUG,0.2,,,
2013,SEP,0.3,,,
2013,OCT,-0.1,,,
2013,NOV,0.7,,,
2013,DEC,0.1,,,
2013,Annual_average,0.45,,,
2014,JAN,1.4,,,
2014,FEB,0.1,,,
2014,MAR,-0.9,,,
2014,APR,0.8,,,
2014,MAY,0.5,,,
2014,JUN,0.2,,,
2014,JUL,-0.2,,,
2014,AUG,-0.7,,,
2014,SEP,-0.7,,,
2014,OCT,-0.6,,,
2014,NOV,,,,
2014,DEC,,,,
2014,Annual_average,-0.01,,,
1887,MAR,1,,,
1887,APR,0.6,,,
1885,MAR,0.6,,,
1885,APR,0,,,
1885,MAY,-0.2,,,
1885,JUN,-1.2,,,
1885,JUL,-0.4,,,
1885,AUG,-1.1,,,
1885,SEP,-0.4,,,
1885,OCT,-2,,,
1885,NOV,-1.6,,,
1885,DEC,0.6,,,
1885,Annual_average,-0.658333333,,,
1886,JAN,-0.2,,,
1886,FEB,-0.1,,,
1886,MAR,0.3,,,
1886,APR,0.2,,,
1886,MAY,0.6,,,
1886,JUN,0.2,,,
1886,JUL,0.7,,,
1886,AUG,1.2,,,
1886,SEP,1.4,,,
1886,OCT,1.3,,,
1886,NOV,0.8,,,
1886,DEC,1.6,,,
1886,Annual_average,0.666666667,,,
1887,JAN,1.6,,,
1887,FEB,1.2,,,
1887,MAY,-0.4,,,
1887,JUN,0.3,,,
1887,JUL,0.4,,,
1887,AUG,0.3,,,
1887,SEP,0.6,,,
1887,OCT,0.5,,,
1887,NOV,-0.6,,,
1887,DEC,0.6,,,
1887,Annual_average,0.508333333,,,
1888,JAN,-0.6,,,
1888,FEB,-0.3,,,
1888,MAR,-1.4,,,
1888,APR,-1.8,,,
1888,MAY,-0.8,,,
1888,JUN,-1.3,,,
1888,JUL,-1.6,,,
1888,AUG,-1,,,
1888,SEP,-1.1,,,
1888,OCT,-1.5,,,
1888,NOV,-1.4,,,
1888,DEC,-0.4,,,
1888,Annual_average,-1.1,,,
1889,JAN,-3.5,,,
1889,FEB,-0.3,,,
1889,MAR,-3.4,,,
1889,APR,0,,,
1889,MAY,-0.1,,,
1889,JUN,1.7,,,
1889,JUL,0.1,,,
1889,AUG,0,,,
1889,SEP,1.1,,,
1889,OCT,0.2,,,
1889,NOV,1.9,,,
1889,DEC,2.5,,,
1889,Annual_average,0.016666667,,,
1890,JAN,2.6,,,
1890,FEB,1.4,,,
1890,MAR,1.5,,,
1890,APR,0.6,,,
1890,MAY,0.3,,,
1890,JUN,0.4,,,
1890,JUL,-0.4,,,
1890,AUG,-0.5,,,
1890,SEP,0.8,,,
1890,OCT,0.3,,,
1890,NOV,0,,,
1890,DEC,-0.1,,,
1890,Annual_average,0.575,,,
1891,JAN,2.1,,,
1891,FEB,-0.7,,,
1891,MAR,-1.3,,,
1891,APR,0.4,,,
1891,MAY,0,,,
1891,JUN,-0.1,,,
1891,JUL,-0.6,,,
1891,AUG,-0.8,,,
1891,SEP,-1,,,
1891,OCT,0,,,
1891,NOV,-0.6,,,
1891,DEC,-0.7,,,
1891,Annual_average,-0.275,,,
1892,JAN,0.2,,,
1892,FEB,-1.5,,,
1892,MAR,1.2,,,
1892,APR,0.6,,,
1892,MAY,0.9,,,
1892,JUN,1.4,,,
1892,JUL,0.8,,,
1892,AUG,0.4,,,
1892,SEP,,,,
1892,OCT,,,,
1892,NOV,,,,
1892,DEC,,,,
1892,Annual_average,0.5,,,
1893,JAN,,,,
1893,FEB,,,,
1893,MAR,,,,
1893,APR,,,,
1893,MAY,,,,
1893,JUN,,,,
1893,JUL,,,,
1893,AUG,,,,
1893,SEP,,,,
1893,OCT,,,,
1893,NOV,,,,
1893,DEC,,,,
1893,Annual_average,,,,
1894,JAN,,,,
1894,FEB,,,,
1894,MAR,,,,
1894,APR,,,,
1894,MAY,,,,
1894,JUN,,,,
1894,JUL,,,,
1894,AUG,,,,
1894,SEP,,,,
1894,OCT,,,,
1894,NOV,,,,
1894,DEC,,,,
1894,Annual_average,,,,
1895,JAN,,,,
1895,FEB,,,,
1895,MAR,,,,
1895,APR,,,,
1895,MAY,,,,
1895,JUN,,,,
1895,JUL,,,,
1895,AUG,,,,
1895,SEP,,,,
1895,OCT,,,,
1895,NOV,,,,
1895,DEC,,,,
1895,Annual_average,,,,
1896,JAN,0.7,,,
1896,FEB,1.1,,,
1896,MAR,-0.3,,,
1896,APR,-0.1,,,
1896,MAY,-2.6,,,
1896,JUN,-2,,,
1896,JUL,-1.5,,,
1896,AUG,-1.6,,,
1896,SEP,-1.5,,,
1896,OCT,-1.4,,,
1896,NOV,-0.6,,,
1896,DEC,-1.3,,,
1896,Annual_average,-0.925,,,
1897,JAN,-1.6,,,
1897,FEB,-1.1,,,
1897,MAR,-2.1,,,
1897,APR,-1.4,,,
1897,MAY,-1.5,,,
1897,JUN,-0.2,,,
1897,JUL,-0.1,,,
1897,AUG,0.1,,,
1897,SEP,0,,,
1897,OCT,0.1,,,
1897,NOV,-0.9,,,
1897,DEC,1.1,,,
1897,Annual_average,-0.633333333,,,
1898,JAN,0.9,,,
1898,FEB,0.6,,,
1898,MAR,2,,,
1898,APR,0.8,,,
1898,MAY,-0.1,,,
1898,JUN,-0.3,,,
1898,JUL,0.6,,,
1898,AUG,0.7,,,
1898,SEP,1,,,
1898,OCT,0.3,,,
1898,NOV,0.1,,,
1898,DEC,0.3,,,
1898,Annual_average,0.575,,,
1899,JAN,1.6,,,
1899,FEB,1,,,
1899,MAR,1.4,,,
1899,APR,0.2,,,
1899,MAY,-0.5,,,
1899,JUN,-0.8,,,
1899,JUL,-0.6,,,
1899,AUG,-1.1,,,
1899,SEP,-0.2,,,
1899,OCT,0.6,,,
1899,NOV,1.4,,,
1899,DEC,-0.5,,,
1899,Annual_average,0.208333333,,,
1900,JAN,-1,,,
1900,FEB,-1,,,
1900,MAR,-3.2,,,
1900,APR,-1.4,,,
1900,MAY,-0.6,,,
1900,JUN,1.9,,,
1900,JUL,1,,,
1900,AUG,0.6,,,
1900,SEP,-1.8,,,
1900,OCT,-2,,,
1900,NOV,-0.7,,,
1900,DEC,-0.8,,,
1900,Annual_average,-0.75,,,
1901,JAN,-0.2,,,
1901,FEB,0.3,,,
1901,MAR,1,,,
1901,APR,0.4,,,
1901,MAY,0,,,
1901,JUN,1.4,,,
1901,JUL,1.4,,,
1901,AUG,0.9,,,
1901,SEP,-1.7,,,
1901,OCT,-2.5,,,
1901,NOV,-1,,,
1901,DEC,-0.3,,,
1901,Annual_average,-0.025,,,
1902,JAN,2.2,,,
1902,FEB,-0.4,,,
1902,MAR,1.3,,,
1902,APR,0.6,,,
1902,MAY,0.8,,,
1902,JUN,0.2,,,
1902,JUL,0.1,,,
1902,AUG,-1,,,
1902,SEP,-1.9,,,
1902,OCT,-0.9,,,
1902,NOV,-0.5,,,
1902,DEC,-0.4,,,
1902,Annual_average,0.008333333,,,
1903,JAN,-1.3,,,
1903,FEB,-1.6,,,
1903,MAR,1.8,,,
1903,APR,1.4,,,
1903,MAY,0.8,,,
1903,JUN,-0.1,,,
1903,JUL,0.4,,,
1903,AUG,-0.1,,,
1903,SEP,0.9,,,
1903,OCT,0.4,,,
1903,NOV,0,,,
1903,DEC,1.8,,,
1903,Annual_average,0.366666667,,,
1904,JAN,1.8,,,
1904,FEB,2,,,
1904,MAR,1,,,
1904,APR,2.4,,,
1904,MAY,0.7,,,
1904,JUN,-0.7,,,
1904,JUL,-1,,,
1904,AUG,-0.1,,,
1904,SEP,0.1,,,
1904,OCT,-0.1,,,
1904,NOV,-1.8,,,
1904,DEC,0.1,,,
1904,Annual_average,0.366666667,,,
1905,JAN,-1.2,,,
1905,FEB,-2.5,,,
1905,MAR,-3.6,,,
1905,APR,-3.3,,,
1905,MAY,-3,,,
1905,JUN,-2.5,,,
1905,JUL,-2,,,
1905,AUG,-1,,,
1905,SEP,-0.7,,,
1905,OCT,-0.8,,,
1905,NOV,-1.9,,,
1905,DEC,-1.9,,,
1905,Annual_average,-2.033333333,,,
1906,JAN,-0.6,,,
1906,FEB,-1.2,,,
1906,MAR,-0.4,,,
1906,APR,0.5,,,
1906,MAY,,,,
1906,JUN,-0.4,,,
1906,JUL,0.5,,,
1906,AUG,1.4,,,
1906,SEP,1.9,,,
1906,OCT,0.8,,,
1906,NOV,1.9,,,
1906,DEC,,,,
